# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,90
0.024,1.295463068672691e-7,3.042960918166875e-4,3.043097413552081e-4,0.524249618444382,0.525035452192821,-6.690895405550577e-9,0,6.690895405550581e-9,269.9999979987167,2.88221941631434e-6,0.028715215831319,0,0,0,85,90
0.026,2.35610219082739e-6,0.002206994802225,0.002210687879964,1.378454648789332,1.381801751805786,1.014529748244909e-7,0,1.01452974824491e-7,89.99999803588305,1.277295798712068e-4,0.096119001891493,0,0,0,85,90
0.028,1.009648779451285e-5,0.00581813693627,0.005831013866827,2.232693053333267,2.23866745065468,5.94046334780549e-7,0,5.940463347805508e-7,89.99999556331002,3.873051845060002e-4,0.163443214047262,0,0,0,85,90
0.03,2.676765676024247e-5,0.011137789313162,0.011165169597805,3.086964904582728,3.095572388758532,1.740385460040967e-6,0,1.740385460040978e-6,89.999993421816,7.814482474109123e-4,0.230686132913856,0,0,0,85,90
0.031,3.952011959178933e-5,0.014438327765504,0.014474944153641,3.514113398064123,3.524036749125828,2.642776033725879e-6,0,2.642776033725902e-6,89.99999238201426,0.001028931283864,0.264276436209436,0,0,0,85,90
0.0325,6.563187018598719e-5,0.020711273330893,0.020766148119021,4.849847948190595,4.864351675899302,4.525144498805055e-6,0,4.525144498805113e-6,89.99999087853078,0.001508663220925,0.375355972719,0,0,0,85,90
0.0345,1.179415831632837e-4,0.032192205035138,0.032282094913185,6.631144114987005,6.651765355342901,8.391874181379518e-6,0,8.39187418137967e-6,89.99998906792761,0.002407402533757,0.523364183731829,0,0,0,85,90
0.0365,1.967759933746895e-4,0.047236091339645,0.047373231042408,8.412802605795234,8.439539566867793,1.435202078808876e-5,0,1.435202078808911e-5,89.9999873810463,0.003602040303781,0.671252870870549,0,0,0,85,90
0.0385,3.092617349005778e-4,0.065843657241262,0.066040283140698,10.194823771633791,10.227668929152202,2.299713558755853e-5,0,2.299713558755925e-5,89.99998571647303,0.005092327404905,0.819011593126687,0,0,0,85,90
0.0405,4.625268925229689e-4,0.088015628446291,0.088283960150609,11.977207968029619,12.016150792306359,3.491824925990426e-5,0,3.491824925990561e-5,89.99998402879358,0.00687799164573,0.966627722555348,0,0,0,85,90
0.0425,6.637010031412662e-4,0.113752731360953,0.114104963939964,13.75995553592653,13.80498333600354,5.070582137767021e-5,0,5.070582137767263e-5,89.99998230434761,0.008958733373826,1.114086422437798,0,0,0,85,90
0.0445,9.199150571286311e-4,0.143055693040532,0.143503992550069,15.543066779511546,15.594164958966898,7.094968105172368e-5,0,7.094968105172778e-5,89.99998054260647,0.011334221036461,1.261370625595675,0,0,0,85,90
0.0465,0.00123830149954,0.175925241091435,0.176481740974329,17.326541941383855,17.38369402835883,9.623895865539954e-5,0,9.623895865540615e-5,89.99997874750085,0.014004086698207,1.408461012972886,0,0,0,85,90
0.0485,0.001625994231076,0.212362103521313,0.21303890107812,19.110381175525987,19.173568752942586,1.271620085412656e-4,0,1.271620085412759e-4,89.99997692393536,0.016967921516092,1.555335992613293,0,0,0,85,90
0.0505,0.002090128608683,0.252366947183679,0.25317615615073,20.894400497321918,20.963774881194478,1.643063226664658e-4,0,1.643063226664814e-4,89.99997507653104,0.020225973708313,1.704078967335205,0,0,0,85,90
0.0525,0.002637840463053,0.295939516617307,0.296894112687415,22.678228792726316,22.75428790003321,2.082696878759049e-4,0,2.082696878759276e-4,89.9999732105653,0.023789002769397,1.858912763514454,0,0,0,85,90
0.0545,0.003276265352195,0.343080101554982,0.344193423552794,24.462415886269728,24.545142300185084,2.596686250685392e-4,0,2.596686250685717e-4,89.9999713314025,0.027661466591917,2.013509260846226,0,0,0,85,90
0.0565,0.004012540024208,0.393789418811694,0.395074770513901,26.24696095110686,26.336334066214036,3.191215109479541e-4,0,3.191215109479995e-4,89.9999694422399,0.031842863071013,2.167840602603816,0,0,0,85,90
0.0585,0.004853802658978,0.448068183262844,0.449538827045947,28.031862868309986,28.127858928851882,3.872456608975887e-4,0,3.872456608976508e-4,89.99996754492112,0.036332632293581,2.321876838606291,0,0,0,85,90
0.0605,0.005807192863691,0.505917107223301,0.507586257511316,29.817120190279446,29.919712267307077,4.646572091829518e-4,0,4.646572091830353e-4,89.99996564059357,0.041130152359921,2.475585934051853,0,0,0,85,90
0.0625,0.006879851667032,0.567336899754665,0.569217716312959,31.60273110565866,31.711889034821226,5.519709808159451e-4,0,5.519709808160557e-4,89.99996373003316,0.046234735224787,2.628933780118731,0,0,0,85,90
0.0645,0.008078921511926,0.632328265904461,0.634433846978165,33.38869340648052,33.5043837002038,6.498003551237598e-4,0,6.498003551239041e-4,89.9999618138086,0.051645622561561,2.781884206527425,0,0,0,85,90
0.0665,0.009411546246697,0.700891905882473,0.703235281161862,35.17500445827008,35.2971902013247,7.587571210726567e-4,0,7.587571210728426e-4,89.99995989236656,0.057361981653679,2.934398996246487,0,0,0,85,90
0.0685,0.010884871114523,0.77302851418083,0.775622637573244,36.96166117381551,37.09030190836913,8.794513244055096e-4,0,8.794513244057463e-4,89.99995796607608,0.063382901317741,3.086437902506625,0,0,0,85,90
0.0705,0.01250604274108,0.848738778645868,0.851596520835996,38.74865999129005,38.88371159570535,0.001012491106661,0,0.001012491106662,89.99995603525304,0.069707387863077,3.237958668264344,0,0,0,85,90
0.0725,0.014282209120283,0.928023379511138,0.931157520295422,40.53599685736333,40.677411421818995,0.001158482536154,0,0.001158482536154,89.9999541001732,0.076334361092793,3.388917048226549,0,0,0,85,90
0.0745,0.016220519598079,1.0108829884021,1.014306208787225,42.3236672158801,42.471392917107856,0.001318029431,0,0.001318029431,89.9999521610805,0.083262650351489,3.539266833511656,0,0,0,85,90
0.0765,0.018328124854212,1.097318267324171,1.101043141383483,44.11166600260768,44.265646979507096,0.001491733174291,0,0.001491733174292,89.9999502181915,0.090490990624966,3.688959878981035,0,0,0,85,90
0.0785,0.020612176881971,1.187329867646692,1.191368854131771,45.88455184793906,46.059823381747485,0.001680192521525,0,0.001680192521526,89.99994827169901,0.098018018697264,4.014378117662155,0,0,0,85,90
0.0805,0.023079797628278,1.280886852582578,1.285282166527122,47.6724736223295,47.854574726856306,0.001884361593533,0,0.001884361593534,89.9999467578163,0.106203194272814,4.170801004192473,0,0,0,85,90
0.0825,0.025738108348224,1.378019920439897,1.382785332146117,49.46063286025711,49.64956444257444,0.002105213876482,0,0.002105213876483,89.99994597150003,0.114701236563819,4.327244666090294,0,0,0,85,90
0.0845,0.028594261674839,1.478729534486648,1.483878801074583,51.249017803325735,51.444780725590554,0.002343375144678,0,0.002343375144679,89.99994573827846,0.123512186100977,4.483708074629254,0,0,0,85,90
0.0865,0.031655411143781,1.583016133889525,1.588563001652391,53.037616114602464,53.24021119184667,0.002599471251393,0,0.002599471251395,89.99994592377543,0.132636081306394,4.640190150467579,0,0,0,85,90
0.0885,0.034928711144001,1.690880132594931,1.696838338885457,54.82641491780823,55.03584291587841,0.002874128124557,0,0.002874128124558,89.99994642423505,0.142072958395688,4.796689767076824,0,0,0,85,90
0.0905,0.038421316866252,1.802321918294828,1.80870519304253,56.61540084287631,56.83166247654759,0.003167971762244,0,0.003167971762246,89.99994715936657,0.151822851287512,4.95320575472772,0,0,0,85,90
0.092,0.041188995256008,1.888251398197691,1.894962480786522,57.957254791398164,58.178642089159695,0.003401322418752,0,0.003401322418754,89.99994782671885,0.159340706641689,5.07060276333088,0,0,0,85,90
0.094,0.045083456315166,2.007231647220352,2.014396681914245,61.02321358139473,61.256312343648645,0.003730323842796,0,0.003730323842798,89.99994883227824,0.16975012961466,5.338839400293239,0,0,0,85,90
0.096,0.049222010663383,2.132345121996861,2.139987573428276,64.0904765916277,64.33529180028343,0.004080680662476,0,0.004080680662478,89.9999499382061,0.180696140311939,5.607190141741024,0,0,0,85,90
0.098,0.053616927344589,2.263594406842142,2.271737747454764,67.15901950089324,67.41555604495714,0.004453466280047,0,0.004453466280049,89.99995111668028,0.192178964831784,5.875652859844617,0,0,0,85,90
0.1,0.05828048052194,2.400982036298047,2.409649746067623,70.22881687962531,70.49707955096697,0.004849754545641,0,0.004849754545642,89.99995234516811,0.204198824917874,6.144225329805271,0,0,0,85,90
0.102,0.06322494938109,2.544510500638883,2.553726066889511,73.29985025142828,73.57984377134044,0.005270619748798,0,0.0052706197488,89.99995360540677,0.21675593844098,6.412905935147825,0,0,0,85,90
0.104,0.068462618042221,2.694182239278398,2.703969156526378,76.3720866230799,76.66381558682652,0.005717136610777,0,0.005717136610779,89.9999548826102,0.229850518822151,6.681691789339358,0,0,0,85,90
0.106,0.074005775441603,2.849999630677619,2.860381400472711,79.44549836024008,79.74896725752647,0.006190380274187,0,0.006190380274189,89.99995616484115,0.243482774149762,6.950580474688391,0,0,0,85,90
0.108,0.079866715216803,3.011964997511555,3.022965128321161,82.52005733977781,82.83527055288347,0.00669142629295,0,0.006691426292952,89.99995744250748,0.257652907631548,7.219569530739776,0,0,0,85,90
0.11,0.086057735594256,3.180080605863779,3.191722612967789,85.59573512224726,85.92269692481764,0.00722135062246,5.204298616899359e-9,0.007221350622462,89.99995870795344,0.27236111752413,7.488656469364406,0,0,0,85,90
0.112,0.092591139275558,3.354348664766533,3.366656070157228,88.67250312429304,89.0112176807898,0.007781229609637,5.438417461311677e-9,0.007781229609639,89.99995995512491,0.287607597092788,7.757838789842719,0,0,0,85,90
0.114,0.099479233323191,3.534771326082327,3.547767658365679,91.7503327870735,92.10080415286819,0.00837213998293,5.672536305723995e-9,0.008372139982932,89.99996117929344,0.303392534601096,8.027113993599826,0,0,0,85,90
0.116,0.106734329046345,3.721350684715266,3.735059479011445,94.82919573699814,95.19142785907977,0.008995158842326,5.906655150136312e-9,0.008995158842328,89.9999623768277,0.319716113329415,8.296479598268217,0,0,0,85,90
0.118,0.114368741887467,3.914088779133351,3.928533576975299,97.90906393542272,98.28306065367725,0.009651363649426,6.14077399454863e-9,0.009651363649428,89.99996354500304,0.336578511620585,8.565933150784378,0,0,0,85,90
0.12,0.122394791310157,4.112987592176666,4.128191941406328,100.98990981440977,101.37567486341811,0.010341832217635,6.374892838960948e-9,0.010341832217637,89.99996468184294,0.353979902950637,8.835472239266306,0,0,0,85,90
0.122,0.130824800688934,4.318049052121153,4.334036506783473,104.07170639621258,104.46924340750505,0.01106764270252,6.609011683373265e-9,0.011067642702522,89.99996578598655,0.371920456021854,9.105094503466995,0,0,0,85,90
0.124,0.139671097201359,4.529275033963582,4.546069154198656,107.15442739475348,107.56373989945186,0.011829873592371,6.843130527785583e-9,0.011829873592373,89.99996685657754,0.390400334875198,9.37479764365264,0,0,0,85,90
0.126,0.14894601172292,4.746667360890506,4.764291712824469,110.23804729799576,110.65913872976995,0.012629603699004,7.077249372197901e-9,0.012629603699006,89.9999678931715,0.409419699018824,9.644579427809246,0,0,0,85,90
0.128,0.158661878725,4.970227805892408,4.988705961527705,113.32254143073884,113.75541512900351,0.013467912148836,7.311368216610219e-9,0.013467912148838,89.99996889565831,0.428978703569301,9.914437697136492,0,0,0,85,90
