# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,0,0,0,0,0,0,0,0,0,0,0,32.367,-106.83,90.01166961505233,0,0,0,90.01166961505233,0,2793,836,0.673,0.007,9.795,NaN,133,NaN,0,0,0,1.048,0.591,0.337,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.186,90.01166961505233,15,1013,0.001225,340.389,0.006,3.03e5,10.2,80,0.002,0.005,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,32.367,-106.83,90.01166961505233,0,0,0,90.01166961505233,0,2791.9999999999995,836,0.673,0.007,9.795,NaN,133,NaN,22.259,0.814,0,1.048,0.591,0.337,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.183,90.01166961505233,15,1013,0.001225,340.389,0.006,3.027e5,10.2,80,0.002,0.008,0
0.004,2.883e-6,2.883e-6,0.005,0.005,6.149,6.15,-1.321e-7,0,1.321e-7,269.9777130656439,1.651e-4,0.099,32.367,-106.83,89.89707805602616,0,0,0,90.01166961505233,0,2791.9999999999995,836,0.673,0.007,9.795,NaN,133,NaN,44.518,1.628,0,1.048,0.591,0.337,0.12,3.047e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.181,90.01166961505233,15,1013,0.001225,340.389,0.006,3.023e5,10.2,80,0.002,0.009,0
0.006,3.036e-5,3.036e-5,0.025,0.025,14.122,14.122,-6.6e-7,0,6.6e-7,269.9777130656439,3.628e-4,0.099,32.367,-106.83,89.32412026089534,0,0,0,90.01166961505233,0,2791.9999999999995,836,0.673,0.007,9.795,NaN,133,NaN,66.778,2.442,9.557e-8,1.048,0.592,0.337,0.12,4.057e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.178,90.01166961505233,15,1013,0.001225,340.389,0.006,3.02e5,10.2,80,0.002,0.012,0
0.008,1.143e-4,1.143e-4,0.061,0.061,22.096,22.096,-1.583e-6,0,1.583e-6,269.9777130656439,5.6e-4,0.099,32.367,-106.83,88.40738778868602,0,0,0,90.01166961505233,0,2791.9999999999995,836,0.673,0.007,9.795,NaN,133,NaN,89.037,3.256,1.371e-6,1.049,0.592,0.337,0.12,5.832e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.176,90.01166961505233,15,1013,0.001225,340.389,0.006,3.017e5,10.2,80,0.002,0.013,0
0.01,2.867e-4,2.867e-4,0.114,0.114,30.071,30.072,-2.9e-6,0,2.9e-6,269.9777130656439,7.57e-4,0.098,32.367,-106.83,87.03228908037204,0,0,0,90.01166961505233,0,2791.9999999999995,836,0.673,0.007,9.795,NaN,133,NaN,111.296,4.07,8.56e-6,1.049,0.592,0.337,0.12,3.642e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.173,90.01166961505233,15,1013,0.001225,340.389,0.006,3.017e5,10.2,80,0.002,0.018,0
0.012,5.793e-4,5.793e-4,0.182,0.182,38.047,38.047,-4.611e-6,0,4.611e-6,269.9777130656439,9.541e-4,0.099,32.367,-106.83,85.19882413595342,0,0,0,90.01166961505233,0,2791.9999999999995,835,0.673,0.007,9.795,NaN,133,NaN,133.555,4.884,3.441e-5,1.048,0.592,0.337,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.171,90.01166961505233,15,1013,0.001225,340.389,0.006,3.019e5,10.2,80,0.002,0.02,0
0.014,0.001,0.001,0.266,0.266,46.024,46.024,-6.717e-6,0,6.717e-6,269.9777130656439,0.001,0.099,32.367,-106.83,83.0215845144563,0,0,0,90.01166961505233,0,2791,835,0.673,0.007,9.795,NaN,133,NaN,155.815,5.699,1.052e-4,1.048,0.591,0.337,0.12,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.168,90.01166961505233,15,1013,0.001225,340.389,0.006,3.028e5,10.2,80,0.002,0.027,0
0.016,0.002,0.002,0.366,0.366,54.002,54.002,-9.219e-6,0,9.219e-6,269.9777130656439,0.001,0.1,32.367,-106.83,80.3859786568545,0,0,0,90.01166961505233,0,2791,835,0.673,0.007,9.795,NaN,133,NaN,178.074,6.513,2.665e-4,1.047,0.591,0.337,0.12,0.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.166,90.01166961505233,15,1013,0.001225,340.389,0.006,3.044e5,10.2,80,0.002,0.028,0
0.018,0.002,0.002,0.482,0.482,61.98,61.981,-1.212e-5,0,1.212e-5,269.9777130656439,0.002,0.102,32.367,-106.83,77.4638939016873,0,0,0,90.01166961505233,0,2791,835,0.673,0.007,9.795,NaN,133,NaN,200.333,7.328,5.883e-4,1.046,0.589,0.337,0.12,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.164,90.01166961505233,15,1013,0.001225,340.389,0.007,3.071e5,10.2,80,0.002,0.033,0
