# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,0,0,0,0,0,0,0,0,0,0,0,28.610000000000003,-80.6,85,0,0,0,85,90,2689.601231869018,836.4399999999999,0.632614311944782,0.00719862356044,9.792177302472455,NaN,134.6261209322958,NaN,0,0,3.662113058333294e-5,1.053181842730416,0.5964148850594,0.33676200093187,0.120004956739147,0.001669340988263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.101850127608724,90,15,1013.25,0.001224999463349,340.3889,0.006174849202218,2.914369323409786e5,10.16,81.07319665559963,0.002,0.0038946,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,28.610000000000003,-80.6,85,0,0,0,85,90,2689.444467487529,836.2832356185105,0.632556700577943,0.007198595263735,9.792177302472455,NaN,134.62260443677886,NaN,22.259214285714286,0.84521652739455,3.649398747217735e-5,1.053431848077907,0.596665369670351,0.336761540049741,0.120004938357815,0.001669737258078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.097949308036822,90,15,1013.25,0.001224999463349,340.3889,0.006163389311569,2.908960551039588e5,10.16,81.07319665559963,0.002,0.0059165,0
0.004,3.445251893146442e-6,3.445251893146442e-6,0.005680932800796,0.00594926815214,6.707040874889714,6.841276852156712,1.317056412688904e-6,0,1.317056412688904e-6,90,0.001766576932634,1.3485813547628,28.610000000000003,-80.59999999998648,84.84469398975885,0,0,0,85,90,2689.2877031060393,836.1264712370211,0.632499082558935,0.00719856696703,9.792177302461866,NaN,134.61908753129367,NaN,44.51842857142857,1.690531593780259,3.985831801477236e-5,1.053568401891196,0.596802184936401,0.336761288603236,0.120004928351559,0.001827370717496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.094048488464919,90,14.999999977605853,1013.2499995959297,0.001224999462955,340.3888999864291,0.006157141918722,2.906011942119846e5,10.16,81.07319665559963,0.002,0.0065048,0
0.006,3.371899012339655e-5,3.371899012339655e-5,0.027341781615996,0.027829129538937,14.953969434805538,15.096578498482147,8.028422679819654e-6,0,8.028422679819654e-6,90,0.005185308954935,2.070140213544777,28.610000000000003,-80.59999999991764,84.25239577600804,0,0,0,85,90,2689.13093872455,835.9697068555315,0.632441457886593,0.007198538670326,9.792177302368804,NaN,134.61557021576857,NaN,66.77764285714285,2.535945216411641,5.486504802701129e-5,1.05358841430852,0.596822235651325,0.336761251770066,0.120004926887129,0.002516126813206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.090147668893017,90,14.999999780826556,1013.2499960453275,0.001224999459499,340.3888998671809,0.006156227071745,2.905580150338791e5,10.16,81.07319665559963,0.002,0.0071351,0
0.008,1.238089292727485e-4,1.238089292727485e-4,0.065497456889215,0.066263569424205,23.201867502858505,23.369204817880483,2.302032007191931e-5,0,2.302032007191931e-5,90,0.010047077877767,2.791608532700601,28.610000000000003,-80.59999999976387,83.21040963723738,0,0,0,85,90,2688.974174343061,835.8129424740421,0.632383826559754,0.007198510373621,9.792177302091867,NaN,134.61205249013184,NaN,89.03685714285714,3.38145741258225,8.95564379373005e-5,1.053472439871932,0.596706039207038,0.336761465283901,0.120004935380993,0.004100015578586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.086246849321114,90,14.99999919524197,1013.2499854792874,0.001224999449215,340.3888995123166,0.006161531398786,2.908083632927371e5,10.16,81.07319665559963,0.002,0.0077518,0
0.01,3.067066618419777e-4,3.067066618419777e-4,0.120149898405207,0.121257469889127,31.45073567920167,31.646316116368176,4.917859701226945e-5,0,4.917859701226945e-5,90,0.016351633469804,3.512911751538194,28.610000000000003,-80.59999999949555,81.72340803134816,0,0,0,85,90,2688.8174099615712,835.6561780925525,0.632326188577254,0.007198482076916,9.792177301529643,NaN,134.60853435431176,NaN,111.29607142857144,4.227068199624696,1.60248695708349e-4,1.053163668602518,0.596396676061123,0.336762034462634,0.120004958078761,0.007302817893041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.082346029749212,90,14.999998006406713,1013.2499640284484,0.001224999428335,340.38889879188247,0.006175683556391,2.914763039387306e5,10.16,81.07319665559963,0.002,0.0086155,0
0.012,6.154076601617552e-4,6.154076601617552e-4,0.191301045600919,0.192812940093291,39.700572739396804,39.92570284900199,8.938843070514781e-5,0,8.938843070514781e-5,90,0.024098543927263,4.233942861053882,28.610000000000003,-80.5999999990831,79.80122771369814,0,0,0,85,90,2688.6606455800816,835.4994137110632,0.632268543937929,0.007198453780211,9.7921773005807,NaN,134.60501580823663,NaN,133.5552857142857,5.072777594910666,2.957450531470479e-4,1.052583313459643,0.59581520528467,0.336763107102906,0.120005001072067,0.013361763501346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.078445210177309,90,14.999995999850228,1013.2499278229947,0.001224999393094,340.38889757590925,0.006202401561853,2.927373169003812e5,10.16,81.07319665559963,0.002,0.0092942,0
0.014,0.00108291127091,0.00108291127091,0.278952832199918,0.280931870182897,47.951373900246374,48.20665875413392,1.465338991218343e-4,0,1.465338991218343e-4,90,0.033287131028433,4.954562474758651,28.610000000000003,-80.59999999849694,77.46121922632578,0,0,0,85,90,2688.5038811985924,835.3426493295736,0.632210892640614,0.007198425483506,9.792177299143603,NaN,134.60149685183455,NaN,155.8145,5.918585615850933,5.419601045460743e-4,1.051634572657412,0.594864631738848,0.336764868619595,0.120005072298969,0.024141925337778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.074544390605407,90,14.999992961076714,1013.2498729926556,0.001224999339724,340.3888957344125,0.006246413721027,2.948145650462927e5,10.16,81.07319665559963,0.002,0.0098616,0
0.016,0.001742220695419,0.001742220695419,0.383107177398593,0.385616078571535,56.203129170391364,56.488873267245225,2.23497423529285e-4,0,2.23497423529285e-4,90,0.043916405574358,5.674599057131346,28.610000000000003,-80.5999999977075,74.73078338669214,0,0,0,85,90,2688.3471168171027,835.1858849480842,0.632153234684145,0.007198397186801,9.792177297116897,NaN,134.59797748503382,NaN,178.0737142857143,6.764492279895381,9.662785804344631e-4,1.050209309967229,0.593436594688464,0.336767533734463,0.120005181544302,0.042135931409155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.070643571033505,90,14.999988675565476,1013.2497956667091,0.001224999264457,340.38889313739264,0.006313321874576,2.979724397071372e5,10.16,81.07319665559963,0.002,0.0105221,0
0.018,0.002626342949316,0.002626342949316,0.503765974168277,0.506867317300387,64.4558221811869,64.77217244292214,3.231590825000268e-4,0,3.231590825000268e-4,90,0.055985003506097,6.393849382246675,28.610000000000003,-80.59999999668523,71.6495388131746,0,0,0,85,90,2688.190352435613,835.0291205665947,0.632095570067357,0.007198368890095,9.792177294399117,NaN,134.59445770776264,NaN,200.3329285714286,7.610497604533018,0.001660572501745,1.048197856058591,0.591421181627733,0.33677133399084,0.120005340440018,0.070257114084036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.066742751461602,90,14.999982928770805,1013.249691973985,0.001224999163525,340.3888896548351,0.006409392157558,3.025066849946588e5,10.16,81.07319665559963,0.002,0.01226,0
